run,generation,populationFitness,bestTree,action,structured
0,0,0.502945,0.778367,1,0
0,1,0.509224,0.778367,2,0
0,2,0.508472,0.778367,1,0
0,3,0.513481,0.778367,2,0
0,4,0.526268,0.778367,0,0
0,5,0.533475,0.778367,1,0
0,6,0.535329,0.778367,0,0
0,7,0.546134,0.778367,1,0
0,8,0.557382,0.778776,1,0
0,9,0.570560,0.778776,1,0
0,10,0.578933,0.778776,1,0
0,11,0.585324,0.778776,1,0
0,12,0.594507,0.778776,1,0
0,13,0.596898,0.778776,2,0
0,14,0.604746,0.778776,1,0
0,15,0.618297,0.792449,1,0
0,16,0.624367,0.792449,1,0
0,17,0.632286,0.792449,1,0
0,18,0.637318,0.792449,1,0
0,19,0.650869,0.792449,2,0
0,20,0.662869,0.792449,1,0
0,21,0.669638,0.792449,1,0
0,22,0.679504,0.792449,1,0
0,23,0.692437,0.792449,1,0
0,24,0.697953,0.792449,2,0
0,25,0.710017,0.792449,1,0
0,26,0.725172,0.792449,1,0
0,27,0.730834,0.792449,1,0
0,28,0.734869,0.792449,0,0
0,29,0.735703,0.792449,1,0
0,30,0.747388,0.792449,0,0
0,31,0.750729,0.792449,1,0
0,32,0.760496,0.792449,0,0
0,33,0.763184,0.792449,2,0
0,34,0.765615,0.792449,0,0
0,35,0.769434,0.792449,0,0
0,36,0.771965,0.792449,1,0
0,37,0.778216,0.792449,1,0
0,38,0.780892,0.792449,1,0
0,39,0.780892,0.792449,1,0
0,40,0.781329,0.792449,2,0
0,41,0.784128,0.792449,0,0
0,42,0.784187,0.792449,1,0
0,43,0.786828,0.792449,0,0
0,44,0.789481,0.792449,1,0
0,45,0.781516,0.792449,2,0
0,46,0.781662,0.792449,1,0
0,47,0.781324,0.792449,1,0
0,48,0.783948,0.792449,2,0
0,49,0.781294,0.792449,1,0
0,50,0.781382,0.792449,1,0
0,51,0.782694,0.792449,1,0
0,52,0.785259,0.792449,1,0
0,53,0.785259,0.792449,0,0
0,54,0.792449,0.792449,2,0
0,55,0.789143,0.792449,1,0
0,56,0.789143,0.792449,1,0
0,57,0.789143,0.792449,2,0
0,58,0.789143,0.792449,1,0
0,59,0.789143,0.792449,1,0
0,60,0.792449,0.792449,1,0
0,61,0.792449,0.792449,1,0
0,62,0.792449,0.792449,1,0
0,63,0.792449,0.792449,1,0
0,64,0.784093,0.792449,1,0
0,65,0.784093,0.792449,1,0
0,66,0.792449,0.792449,1,0
0,67,0.792449,0.792449,1,0
0,68,0.792449,0.792449,1,0
0,69,0.792449,0.792449,1,0
0,0,0.508367,0.730408,1,1
0,1,0.512216,0.730408,2,1
0,2,0.511743,0.730408,1,1
0,3,0.514525,0.730408,0,1
0,4,0.522776,0.730408,1,1
0,5,0.522776,0.730408,1,1
0,6,0.522776,0.730408,0,1
0,7,0.522776,0.730408,1,1
0,8,0.527767,0.730408,0,1
