MaxGenerations,PopulationSize,MaxDepth,CrossoverRate,MutationRate,TournamentSize,globalThreshold,LocalThreshold,CutoffDepth,AvgFitness,StdDevFitness,Score
165,69,6,0.514081,0.295307,5,4,5,6,0.615236,0.0657487,0.41094
189,160,7,0.734402,0.116544,5,3,2,6,0.580571,0.0828182,0.381554
98,76,5,0.852695,0.140623,2,5,1,6,0.588614,0.127287,0.373844
121,149,5,0.636153,0.0726335,4,1,3,5,0.571179,0.0897316,0.372906
88,172,4,0.522842,0.231145,7,3,1,5,0.556785,0.129731,0.35083
190,111,8,0.781242,0.198648,5,2,5,4,0.569715,0.163885,0.349635
193,69,8,0.693846,0.256154,6,3,1,4,0.566344,0.156604,0.349459
104,87,7,0.750123,0.104748,4,2,4,3,0.541689,0.114602,0.344802
103,86,4,0.58303,0.178248,6,5,5,3,0.508157,0.0377509,0.344385
191,121,5,0.610267,0.136468,5,4,4,6,0.546971,0.129401,0.344059
148,131,8,0.701068,0.248932,5,3,4,2,0.554711,0.152486,0.342552
124,55,3,0.675804,0.0509478,5,4,1,4,0.54635,0.138332,0.340945
65,83,3,0.816047,0.104507,6,1,2,5,0.512036,0.0655087,0.338772
99,168,8,0.713559,0.0649181,7,5,4,5,0.527529,0.104468,0.33793
65,54,5,0.603581,0.29209,7,4,2,3,0.535676,0.125079,0.33745
125,105,3,0.833193,0.0756397,3,3,1,3,0.554474,0.183854,0.332975
147,59,3,0.576368,0.160177,7,1,4,5,0.535549,0.148181,0.33043
189,54,4,0.643566,0.155101,2,2,5,2,0.521275,0.120213,0.328829
83,148,5,0.734054,0.215946,2,2,3,6,0.495936,0.0615206,0.328699
177,66,6,0.865707,0.0600769,2,2,5,2,0.542299,0.176675,0.326607
148,147,8,0.73461,0.21539,4,2,3,2,0.501916,0.0853774,0.325728
194,157,7,0.818116,0.131884,7,4,2,5,0.526303,0.147086,0.324287
57,182,7,0.549271,0.288222,3,5,2,2,0.519996,0.143922,0.320821
89,138,4,0.738836,0.24597,5,2,5,6,0.522149,0.158438,0.317973
149,60,7,0.744065,0.205935,5,4,2,3,0.527449,0.192659,0.311417
